url,api,type,boot,logo,urls,user-agent,pass,timeout,core,ua,epg,catchup,playertype,ext,name
https://livetv.wqwqwq.sbs/tv.m3u,,0,,https://live.fanmingming.com/tv/{name}.png,,,,,,,,,1,,央卫
https://github.moeyy.xyz/https://raw.githubusercontent.com/wwb521/live/main/tv.m3u,,0,,,,,,,,,,,1,,V4聚合（卡顿请按左┃右键换线）
https://live.fanmingming.com/tv/m3u/ipv6.m3u,,0,,https://live.fanmingming.com/tv/{name}.png,,,,,,,,,1,,IPV6
https://tv.iill.top/m3u/Live,,0,,,,,,,,okhttp/3.15,,,2,,平台直播
http://rihou.cc:555/gggg.nzk,,0,True,https://epg.112114.eu.org/logo/{name}.png,,,,,"{'auth': 'local://tvbus', 'name': '123', 'pass': '345', 'resp': '{""result_code"":""0"",""result"":""ok"",""keys"":{""user_id"":""0027000005f5c398"",""peer_id"":""0ec044591d9e1418"",""session_key"":""0a49662f37674af5""}}', 'so': 'http://rihou.cc:555/tvbus.so', 'pkg': 'com.svc.vlive.home.ytv9x', 'sign': '308203533082023ba00302010202042108f284300d06092a864886f70d01010b05003059310c300a0603550406130378797a310d300b060355040813047a7a7979310d300b0603550407130479787978310d300b060355040a130478797879310d300b060355040b130479797878310d300b06035504031304787879793020170d3139303332363038333233305a180f32313139303330323038333233305a3059310c300a0603550406130378797a310d300b060355040813047a7a7979310d300b0603550407130479787978310d300b060355040a130478797879310d300b060355040b130479797878310d300b060355040313047878797930820122300d06092a864886f70d01010105000382010f003082010a0282010100bb3298eb5910860b7ae30b6b874ca374667133fd08cbf42bb52d5c1a49e0fe4818fc768f5155a95eacc465d8649467c40ce632081297fb66c6838534ee4221e3d2b6b56060fdde5569e37465852f9daa3a987bff4f013981c9ff063b7e0ca7d52ccacfeddbe066bcc29780d78e929ad9dacc3b804f51c9eb0548aac4803b0d32764135d6d8d987381adea6d5ec34966aebdec717c95e064e203a3ba6d10bf8336eae43a01ca42406055c62312c6ed057afb386cd12b0b54ac1611e6e1fef8e71c8da0597a43f542e645f54e614c2603b58ce3690e69e0da24e944eecacdcf6faa2043ccce1f15860432527b706269510cd6bd8314999fa870fb8825a1e1805070203010001a321301f301d0603551d0e041604149fcb5d4d1dd5743459052b9ab79539ebc8924570300d06092a864886f70d01010b05000382010100658ddae3d7833e5b7cbf504cc016deda2cee97cb2b0bbdb889d06f19860389904ffcdf0f21966299d4c0e19d109065bdd769977f1a67d4928fecdee48eb3c7ce5fb4009653510b9897bdc66aa54a29930ed5c27cbd3a75c4362944afa4625a7c7f0d3e77bcaf8f23d9233ad9c83d33305c88f6110f6d50de9eec1c47135fff99826bc79c88355f99d41c00eb54a7292c44a340fb78d3ac1acf39ad0d13bccc2fdf69e1d86504ae4087a4b59a662986a4e03c0b379f92dce5c8c9da54e164f9480c8a9fed01bcc562640b78adaaa5adcfda0e03a477ea63ec136819298e55f428f74076c1b444556001b84cbd5d47b080b6aeb5f1a567c03ea6a64a9c2876e3b2'}",A1582,https://epg.112114.eu.org/?ch={name}&date={date},,1,,内置直播
http://rihou.cc:555/gggg.nzk,,0,True,https://epg.112114.eu.org/logo/{name}.png,,,,,"{'auth': 'local://tvbus', 'name': '123', 'pass': '345', 'resp': '{""result_code"":""0"",""result"":""ok"",""keys"":{""user_id"":""0027000005f5c398"",""peer_id"":""0ec044591d9e1418"",""session_key"":""0a49662f37674af5""}}', 'so': 'http://rihou.cc:555/tvbus.so', 'pkg': 'com.svc.vlive.home.ytv9x', 'sign': '308203533082023ba00302010202042108f284300d06092a864886f70d01010b05003059310c300a0603550406130378797a310d300b060355040813047a7a7979310d300b0603550407130479787978310d300b060355040a130478797879310d300b060355040b130479797878310d300b06035504031304787879793020170d3139303332363038333233305a180f32313139303330323038333233305a3059310c300a0603550406130378797a310d300b060355040813047a7a7979310d300b0603550407130479787978310d300b060355040a130478797879310d300b060355040b130479797878310d300b060355040313047878797930820122300d06092a864886f70d01010105000382010f003082010a0282010100bb3298eb5910860b7ae30b6b874ca374667133fd08cbf42bb52d5c1a49e0fe4818fc768f5155a95eacc465d8649467c40ce632081297fb66c6838534ee4221e3d2b6b56060fdde5569e37465852f9daa3a987bff4f013981c9ff063b7e0ca7d52ccacfeddbe066bcc29780d78e929ad9dacc3b804f51c9eb0548aac4803b0d32764135d6d8d987381adea6d5ec34966aebdec717c95e064e203a3ba6d10bf8336eae43a01ca42406055c62312c6ed057afb386cd12b0b54ac1611e6e1fef8e71c8da0597a43f542e645f54e614c2603b58ce3690e69e0da24e944eecacdcf6faa2043ccce1f15860432527b706269510cd6bd8314999fa870fb8825a1e1805070203010001a321301f301d0603551d0e041604149fcb5d4d1dd5743459052b9ab79539ebc8924570300d06092a864886f70d01010b05000382010100658ddae3d7833e5b7cbf504cc016deda2cee97cb2b0bbdb889d06f19860389904ffcdf0f21966299d4c0e19d109065bdd769977f1a67d4928fecdee48eb3c7ce5fb4009653510b9897bdc66aa54a29930ed5c27cbd3a75c4362944afa4625a7c7f0d3e77bcaf8f23d9233ad9c83d33305c88f6110f6d50de9eec1c47135fff99826bc79c88355f99d41c00eb54a7292c44a340fb78d3ac1acf39ad0d13bccc2fdf69e1d86504ae4087a4b59a662986a4e03c0b379f92dce5c8c9da54e164f9480c8a9fed01bcc562640b78adaaa5adcfda0e03a477ea63ec136819298e55f428f74076c1b444556001b84cbd5d47b080b6aeb5f1a567c03ea6a64a9c2876e3b2'}",A1582,https://epg.112114.eu.org/?ch={name}&date={date},,2,,内置EXO
http://rihou.cc:555/ggg.nzk,,0,True,,,,,,,judy/5.2.1,,,2,,内置特区
http://rihou.cc:555/ggggg.nzk,,0,True,https://epg.112114.eu.org/logo/{name}.png,,,,,,mitv,https://epg.112114.eu.org/?ch={name}&date={date},,2,,内置测试
http://tv.iill.top/m3u/Gather,,0,,,,,,20,,okhttp/3.8.1,,,1,,外置综合
http://tv.iill.top/m3u/Live,,0,,,,,,20,,okhttp/3.8.1,,,1,,外置综直
https://smart.pendy.dpdns.org/m3u/MytvSuper.m3u,,,,,,,,,,judy/5.2.1,,,,,外置特合
http://tv.iill.top/m3u/MyTV,,0,,,,,,20,,okhttp/3.8.1,,,1,,外置特直
https://tv.iill.top/m3u/Sport,,0,,,,,,20,,okhttp/3.8.1,,,1,,外置体直
https://smart.pendy.dpdns.org/m3u/judy.m3u,,,,,,,,,,judy/5.2.1,,,,,咪咕体育
,http://rihou.cc:555/海星体育.py,3,,,,,,,,,,,,[],海星体育
,http://framagit.org/knnnn/n/-/raw/main/j/yoozb.py,3,,,,,,,,,,,,[],高清体育
,https://json.doube.eu.org/python/live_smt.py,3,,,,,,,,,,,,[],高清直播
http://web9916.w.computerqwq.cf/kqt.php?公众号【医工学习日志】,,0,True,https://epg.112114.eu.org/logo/{name}.png,,,,,,okhttp/3.15,https://epg.112114.eu.org/?ch={name}&date={date},,2,,直播体育
http://rihou.cc:555/20250413.txt,,,,,,,,,"{'auth': 'local://tvbus', 'name': '123', 'pass': '345', 'resp': '{""result_code"":""0"",""result"":""ok"",""keys"":{""user_id"":""0027000005f5c398"",""peer_id"":""0ec044591d9e1418"",""session_key"":""0a49662f37674af5""}}', 'so': 'http://rihou.cc:555/tvbus.so', 'pkg': 'com.svc.vlive.home.ytv9x', 'sign': '308203533082023ba00302010202042108f284300d06092a864886f70d01010b05003059310c300a0603550406130378797a310d300b060355040813047a7a7979310d300b0603550407130479787978310d300b060355040a130478797879310d300b060355040b130479797878310d300b06035504031304787879793020170d3139303332363038333233305a180f32313139303330323038333233305a3059310c300a0603550406130378797a310d300b060355040813047a7a7979310d300b0603550407130479787978310d300b060355040a130478797879310d300b060355040b130479797878310d300b060355040313047878797930820122300d06092a864886f70d01010105000382010f003082010a0282010100bb3298eb5910860b7ae30b6b874ca374667133fd08cbf42bb52d5c1a49e0fe4818fc768f5155a95eacc465d8649467c40ce632081297fb66c6838534ee4221e3d2b6b56060fdde5569e37465852f9daa3a987bff4f013981c9ff063b7e0ca7d52ccacfeddbe066bcc29780d78e929ad9dacc3b804f51c9eb0548aac4803b0d32764135d6d8d987381adea6d5ec34966aebdec717c95e064e203a3ba6d10bf8336eae43a01ca42406055c62312c6ed057afb386cd12b0b54ac1611e6e1fef8e71c8da0597a43f542e645f54e614c2603b58ce3690e69e0da24e944eecacdcf6faa2043ccce1f15860432527b706269510cd6bd8314999fa870fb8825a1e1805070203010001a321301f301d0603551d0e041604149fcb5d4d1dd5743459052b9ab79539ebc8924570300d06092a864886f70d01010b05000382010100658ddae3d7833e5b7cbf504cc016deda2cee97cb2b0bbdb889d06f19860389904ffcdf0f21966299d4c0e19d109065bdd769977f1a67d4928fecdee48eb3c7ce5fb4009653510b9897bdc66aa54a29930ed5c27cbd3a75c4362944afa4625a7c7f0d3e77bcaf8f23d9233ad9c83d33305c88f6110f6d50de9eec1c47135fff99826bc79c88355f99d41c00eb54a7292c44a340fb78d3ac1acf39ad0d13bccc2fdf69e1d86504ae4087a4b59a662986a4e03c0b379f92dce5c8c9da54e164f9480c8a9fed01bcc562640b78adaaa5adcfda0e03a477ea63ec136819298e55f428f74076c1b444556001b84cbd5d47b080b6aeb5f1a567c03ea6a64a9c2876e3b2'}",,,,,,外置频测
